selection,src,dst,pair,path
1,h2,h11,h2->h11,s5 -> s1 -> s8
2,h4,h9,h4->h9,s6 -> s2 -> s7
3,h1,h12,h1->h12,s5 -> s3 -> s8
4,h3,h10,h3->h10,s5 -> s4 -> s8
5,h3,h10,h3->h10,s5 -> s2 -> s8
6,h4,h9,h4->h9,s6 -> s1 -> s7
7,h1,h12,h1->h12,s5 -> s8
8,h2,h11,h2->h11,s5 -> s3 -> s8
9,h4,h9,h4->h9,s6 -> s3 -> s7
10,h3,h10,h3->h10,s5 -> s1 -> s8
11,h1,h12,h1->h12,s5 -> s4 -> s8
12,h2,h11,h2->h11,s5 -> s8
13,h2,h11,h2->h11,s5 -> s2 -> s8
14,h3,h10,h3->h10,s5 -> s3 -> s8
15,h1,h12,h1->h12,s5 -> s1 -> s8
16,h4,h9,h4->h9,s6 -> s4 -> s7
17,h3,h10,h3->h10,s5 -> s8
18,h2,h11,h2->h11,s5 -> s4 -> s8
19,h4,h9,h4->h9,s6 -> s7
20,h1,h12,h1->h12,s5 -> s2 -> s8
21,h4,h9,h4->h9,s6 -> s2 -> s7
22,h2,h11,h2->h11,s5 -> s3 -> s8
23,h3,h10,h3->h10,s5 -> s1 -> s8
24,h1,h12,h1->h12,s5 -> s4 -> s8
25,h1,h12,h1->h12,s5 -> s2 -> s8
26,h3,h10,h3->h10,s5 -> s8
27,h2,h11,h2->h11,s5 -> s4 -> s8
28,h4,h9,h4->h9,s6 -> s1 -> s7
29,h3,h10,h3->h10,s5 -> s3 -> s8
30,h4,h9,h4->h9,s6 -> s3 -> s7
31,h1,h12,h1->h12,s5 -> s1 -> s8
32,h2,h11,h2->h11,s5 -> s2 -> s8
33,h2,h11,h2->h11,s5 -> s8
34,h4,h9,h4->h9,s6 -> s4 -> s7
35,h1,h12,h1->h12,s5 -> s3 -> s8
36,h3,h10,h3->h10,s5 -> s4 -> s8
37,h1,h12,h1->h12,s5 -> s8
38,h2,h11,h2->h11,s5 -> s1 -> s8
39,h3,h10,h3->h10,s5 -> s2 -> s8
40,h4,h9,h4->h9,s6 -> s7
41,h2,h11,h2->h11,s5 -> s1 -> s8
42,h4,h9,h4->h9,s6 -> s4 -> s7
43,h3,h10,h3->h10,s5 -> s3 -> s8
44,h1,h12,h1->h12,s5 -> s8
45,h4,h9,h4->h9,s6 -> s1 -> s7
46,h3,h10,h3->h10,s5 -> s2 -> s8
47,h2,h11,h2->h11,s5 -> s4 -> s8
48,h1,h12,h1->h12,s5 -> s3 -> s8
49,h2,h11,h2->h11,s5 -> s1 -> s8
50,h4,h9,h4->h9,s6 -> s4 -> s7
51,h3,h10,h3->h10,s5 -> s8
52,h1,h12,h1->h12,s5 -> s2 -> s8
53,h4,h9,h4->h9,s6 -> s3 -> s7
54,h1,h12,h1->h12,s5 -> s4 -> s8
55,h3,h10,h3->h10,s5 -> s8
56,h2,h11,h2->h11,s5 -> s1 -> s8
57,h4,h9,h4->h9,s6 -> s4 -> s7
58,h2,h11,h2->h11,s5 -> s2 -> s8
59,h1,h12,h1->h12,s5 -> s3 -> s8
60,h3,h10,h3->h10,s5 -> s1 -> s8
61,h4,h9,h4->h9,s6 -> s7
62,h3,h10,h3->h10,s5 -> s4 -> s8
63,h2,h11,h2->h11,s5 -> s8
64,h1,h12,h1->h12,s5 -> s2 -> s8
65,h3,h10,h3->h10,s5 -> s3 -> s8
66,h2,h11,h2->h11,s5 -> s4 -> s8
67,h4,h9,h4->h9,s6 -> s2 -> s7
68,h1,h12,h1->h12,s5 -> s1 -> s8
69,h4,h9,h4->h9,s6 -> s1 -> s7
70,h2,h11,h2->h11,s5 -> s8
71,h3,h10,h3->h10,s5 -> s4 -> s8
72,h1,h12,h1->h12,s5 -> s2 -> s8
73,h2,h11,h2->h11,s5 -> s3 -> s8
74,h4,h9,h4->h9,s6 -> s1 -> s7
